criterion,max_depth,max_features,min_samples_leaf,min_samples_split,score
gini,,auto,1,2,0.9304439301493794
gini,,auto,1,3,0.9385861561119293
gini,,auto,1,4,0.9467915001051967
gini,,auto,2,2,0.9325057858194825
gini,,auto,2,3,0.9365663791289712
gini,,auto,2,4,0.9241531664212077
gini,,auto,3,2,0.9508731327582579
gini,,auto,3,3,0.9488323164317274
gini,,auto,3,4,0.9304439301493794
gini,,auto,4,2,0.9467073427309067
gini,,auto,4,3,0.9304018514622344
gini,,auto,4,4,0.9304018514622344
gini,,sqrt,1,2,0.9200715337681464
gini,,sqrt,1,3,0.9488112770881548
gini,,sqrt,1,4,0.9160740584893752
gini,,sqrt,2,2,0.9263202188091733
gini,,sqrt,2,3,0.9324847464759098
gini,,sqrt,2,4,0.9344834841152956
gini,,sqrt,3,2,0.9467915001051967
gini,,sqrt,3,3,0.9344834841152956
gini,,sqrt,3,4,0.9406059330948875
gini,,sqrt,4,2,0.9304439301493794
gini,,sqrt,4,3,0.9365243004418262
gini,,sqrt,4,4,0.9426677887649906
gini,,log2,1,2,0.9345045234588681
gini,,log2,1,3,0.9221965074689671
gini,,log2,1,4,0.930422890805807
gini,,log2,2,2,0.9447506837786662
gini,,log2,2,3,0.9201977698295813
gini,,log2,2,4,0.9365453397853989
gini,,log2,3,2,0.9324426677887651
gini,,log2,3,3,0.9468335787923416
gini,,log2,3,4,0.9446875657479487
gini,,log2,4,2,0.9427098674521355
gini,,log2,4,3,0.9406690511256051
gini,,log2,4,4,0.9324637071323375
gini,5.0,auto,1,2,0.9406480117820324
gini,5.0,auto,1,3,0.9448138018093836
gini,5.0,auto,1,4,0.9427098674521355
gini,5.0,auto,2,2,0.9427098674521355
gini,5.0,auto,2,3,0.9304439301493794
gini,5.0,auto,2,4,0.9345466021460132
gini,5.0,auto,3,2,0.9467704607616243
gini,5.0,auto,3,3,0.9325057858194825
gini,5.0,auto,3,4,0.9467915001051967
gini,5.0,auto,4,2,0.9139070061014095
gini,5.0,auto,4,3,0.9406059330948875
gini,5.0,auto,4,4,0.9488323164317272
gini,5.0,sqrt,1,2,0.9570166210814222
gini,5.0,sqrt,1,3,0.9466442247001892
gini,5.0,sqrt,1,4,0.9365243004418262
gini,5.0,sqrt,2,2,0.9468125394487693
gini,5.0,sqrt,2,3,0.9529139490847885
gini,5.0,sqrt,2,4,0.9263202188091733
gini,5.0,sqrt,3,2,0.9427309067957079
gini,5.0,sqrt,3,3,0.9447717231222386
gini,5.0,sqrt,3,4,0.9427309067957079
gini,5.0,sqrt,4,2,0.9488954344624447
gini,5.0,sqrt,4,3,0.9488954344624447
gini,5.0,sqrt,4,4,0.9548706080370291
gini,5.0,log2,1,2,0.9324637071323375
gini,5.0,log2,1,3,0.9221965074689671
gini,5.0,log2,1,4,0.9487481590574373
gini,5.0,log2,2,2,0.9569745423942774
gini,5.0,log2,2,3,0.9284241531664212
gini,5.0,log2,2,4,0.9365874184725437
gini,5.0,log2,3,2,0.9467704607616243
gini,5.0,log2,3,3,0.9179886387544709
gini,5.0,log2,3,4,0.9488533557752998
gini,5.0,log2,4,2,0.9508731327582579
gini,5.0,log2,4,3,0.9323374710709025
gini,5.0,log2,4,4,0.9488533557752998
gini,10.0,auto,1,2,0.9324847464759101
gini,10.0,auto,1,3,0.92434252051336
