metric,n_neighbors,score
minkowski,5,0.9528718703976435
minkowski,10,0.9590363980643802
minkowski,20,0.9631601094045864
minkowski,40,0.9631601094045866
minkowski,80,0.9549547654113191
euclidean,5,0.9528718703976435
euclidean,10,0.9590363980643802
euclidean,20,0.9631601094045864
euclidean,40,0.9631601094045866
euclidean,80,0.9549547654113191
manhattan,5,0.9549126867241741
manhattan,10,0.9590153587208079
manhattan,20,0.9651798863875447
manhattan,40,0.961077214390911
manhattan,80,0.9487902377445824
